storeName,openingHours,storeType,products
CabinCafe,12:00 PM - 8:00 PM,Gift shop,"[""earphones"",""travel-sized toiletries"",""travel pillows""]"
GateGoods,8:00 AM - 4:00 PM,Electronics store,"[""snacks"",""hand sanitizers"",""travel guides""]"
CabinCafe,9:30 AM - 5:30 PM,Bookstore,"[""portable chargers"",""magazines"",""hand sanitizers""]"
TarmacTreats,9:00 AM - 5:00 PM,Gift shop,"[""luggage tags"",""postcards"",""sunglasses"",""books"",""umbrellas"",""travel guides""]"
CockpitCorner,8:00 AM - 4:00 PM,Spa,"[""luggage tags"",""travel-sized toiletries"",""snacks"",""travel pillows"",""travel adapters""]"
JetStop,10:30 AM - 6:30 PM,Gift shop,"[""sunglasses"",""earphones"",""umbrellas""]"
SkyportShop,12:00 PM - 8:00 PM,Coffee shop,"[""luggage tags"",""water bottles"",""magazines"",""umbrellas""]"
SkyLounge,10:00 AM - 6:00 PM,Clothing boutique,"[""postcards"",""umbrellas"",""travel adapters"",""hand sanitizers"",""travel pillows""]"
AirfieldAisle,12:00 PM - 8:00 PM,Bookstore,"[""earphones"",""portable chargers"",""luggage tags"",""hand sanitizers"",""umbrellas""]"
JetStop,10:30 AM - 6:30 PM,Fast food restaurant,"[""portable chargers"",""postcards"",""travel adapters"",""books""]"
TarmacTreats,8:00 AM - 4:00 PM,Duty-free shop,"[""earphones"",""water bottles"",""travel pillows"",""snacks""]"
AirfieldAisle,1:00 PM - 9:00 PM,Spa,"[""books"",""sunglasses"",""travel pillows"",""earphones"",""magazines""]"
SkywaySundries,9:30 AM - 5:30 PM,Fast food restaurant,"[""travel-sized toiletries"",""water bottles"",""magazines"",""earphones"",""travel pillows""]"
HangarHut,10:00 AM - 6:00 PM,Electronics store,"[""sunglasses"",""earphones"",""magazines"",""portable chargers"",""travel-sized toiletries""]"
AviatorAvenue,9:30 AM - 5:30 PM,Spa,"[""travel adapters"",""umbrellas"",""travel pillows"",""travel-sized toiletries"",""travel guides"",""snacks""]"
AirsideBites,10:00 AM - 6:00 PM,Coffee shop,"[""earphones"",""travel adapters"",""books"",""travel-sized toiletries""]"
PilotPickings,10:00 AM - 6:00 PM,Clothing boutique,"[""water bottles"",""sunglasses"",""travel adapters"",""books""]"
TarmacTreats,11:00 AM - 7:00 PM,Coffee shop,"[""magazines"",""portable chargers"",""travel-sized toiletries"",""water bottles"",""travel guides""]"
CockpitCorner,1:00 PM - 9:00 PM,Gift shop,"[""hand sanitizers"",""earphones"",""snacks"",""water bottles"",""travel guides""]"
AviationAvenue,10:00 AM - 6:00 PM,Duty-free shop,"[""hand sanitizers"",""portable chargers"",""travel-sized toiletries"",""sunglasses"",""postcards"",""travel adapters""]"
